q.frg.pt,be.pt.m,s4_new
-0.0173,14.78,33.9
0.0582,9.88,64.65
-0.0329,1.76,14.7
-0.03,11.67,39.2295525
0.0617,5.02,53.7
-0.0371,8.60,30.225
0.0798,4.43,53.4
-0.0197,14.96,33.75
0.0708,6.11,54.0936195
-0.0411,13.16,30.002352
-0.02675,15.20,26.7314205
-0.0228,15.51,26.386854
-0.00608,15.58,37.238407
0.0043,19.42,46.275
-0.0173,16.80,33.975
-0.0616,17.15,39.525
-0.026,16.09,37.95
-0.0143,-0.28,20.475
-0.0392,12.35,18.825
-0.0355,1.67,9.075
-0.062,15.59,29.175
0.0206,15.87,53.55
-0.0192,11.95,30.675
-0.0046,14.74,17.85
0.0223,13.16,31.8
-0.0213,20.16,47.925
0.0683,19.22,48.375
-0.034,9.26,34.5
-0.0166,18.87,50.475
